period,year,month,headline,pub_date,happiness_score,matched_words,total_words,coverage_ratio
Before,2006,9,Op-Art,2006-09-23T05:00:00+0000,5.64,2,2,1.0
Before,2006,9,"With Little Authority, African Union Force Struggles With Its Mission in Darfur",2006-09-09T04:00:00+0000,5.26,10,12,0.8
Before,2006,9,Newt at The New School,2006-09-14T16:46:00+0000,5.74,4,5,0.8
Before,2006,9,"Krishna Chaganti, Sesh Mudumbai",2006-09-24T04:00:00+0000,,0,4,0.0
Before,2006,9,The Zone; Peak Performance,2006-09-17T05:00:00+0000,5.74,4,4,1.0
Before,2006,9,EXECUTIVE PRENUPTIAL,2006-09-24T05:00:00+0000,5.58,1,2,0.5
Before,2006,9,"Boy, 13, on Way to School Is Seriously Injured by a Bus in Queens",2006-09-07T05:00:00+0000,5.2,13,13,1.0
Before,2006,9,Rumors of Suitor for Condom Maker Said to Be Untrue,2006-09-26T14:38:00+0000,4.95,8,10,0.8
Before,2006,9,Sock Puppet Bites Man,2006-09-13T05:00:00+0000,5.9,2,4,0.5
Before,2006,9,A Different World?,2006-09-21T04:00:00+0000,5.71,3,3,1.0
Before,2006,9,Hey! Hey! I’m Walking Here! — How New York (and Other Big Cities) Should Solve the Traffic Problem,2006-09-13T04:00:00+0000,5.39,18,18,1.0
Before,2006,9,"Paid Notice: Deaths   LEAHEY, EDWARD BERRY, SR., M.D.",2006-09-13T05:00:00+0000,5.02,8,9,0.9
Before,2006,9,"From Buell, a Bike to Take Harley in New Directions",2006-09-10T05:00:00+0000,5.61,8,10,0.8
Before,2006,9,Corrections,2006-09-29T04:00:00+0000,,0,1,0.0
Before,2006,9,A GLIMPSE AT BOSTON'S FUTURE,2006-09-17T05:00:00+0000,5.61,6,6,1.0
Before,2006,9,U.S. Cleats Leave Mark on Scandinavia's Welcome Mat,2006-09-06T05:00:00+0000,5.47,7,10,0.7
Before,2006,9,"Paid Notice: Deaths  HAMMERSCHLAG, JESSICA RACHEL",2006-09-03T05:00:00+0000,5.09,5,6,0.8
Before,2006,9,English Water Utility AWG in Play,2006-09-14T11:05:26+0000,6.3,5,6,0.8
Before,2006,9,Liquor-License Freeze Enacted in N.Y.,2006-09-07T04:00:00+0000,4.97,6,7,0.9
Before,2006,9,Malaysia’s Khazanah Sells $750 Million of Islamic Bonds,2006-09-28T11:47:55+0000,5.47,6,8,0.8
Before,2006,9,New Orleans Mayor Finds His Words Follow Him to New York,2006-09-02T04:00:00+0000,5.78,11,11,1.0
Before,2006,9,Before Moocher,2006-09-24T05:00:00+0000,5.1,1,2,0.5
Before,2006,9,Report Urges F.A.A. to Act Regarding False 9/11 Testimony,2006-09-02T05:00:00+0000,4.97,9,10,0.9
Before,2006,9,New DVD's: F. W. Murnau's 'Phantom',2006-09-19T04:00:00+0000,5.44,7,8,0.9
Before,2006,9,Calderón Named Mexico’s President-Elect,2006-09-05T04:00:00+0000,5.43,5,7,0.7
Before,2006,9,"Its Owner Is Mourned, but a Chinese Restaurant Goes On",2006-09-17T04:00:00+0000,5.47,9,10,0.9
Before,2006,9,"Saving Bridges, at Least in Photographs",2006-09-24T05:00:00+0000,5.71,6,6,1.0
Before,2006,9,"The Big Loser Is Known, but What About the Big Winners?",2006-09-20T05:00:00+0000,5.22,11,11,1.0
Before,2006,9,A Brand New ‘Ring’ in a Brand New Space,2006-09-14T05:00:00+0000,5.9,9,9,1.0
Before,2006,9,Corrections,2006-09-17T04:00:00+0000,,0,1,0.0
Before,2006,9,Jillian Straus and Brian Sampson,2006-09-24T04:00:00+0000,5.26,2,5,0.4
Before,2006,9,Like Shopping? Social Networking? Try Social Shopping,2006-09-11T05:00:00+0000,6.57,7,7,1.0
Before,2006,9,French Interior Minister Is Gathering Support in Race for Premier,2006-09-04T04:00:00+0000,5.77,10,10,1.0
Before,2006,9,"Missing a Winning Move, Topalov Eventually Loses",2006-09-25T05:00:00+0000,5.0,6,7,0.9
Before,2006,9,U.S.C. Shows It Belongs In Football's Top Ranks,2006-09-17T05:00:00+0000,5.61,11,11,1.0
Before,2006,9,Daydream Believers,2006-09-17T05:00:00+0000,,0,2,0.0
Before,2006,9,"Thailand Reinterprets the Rules of Democracy, Again",2006-09-21T05:00:00+0000,5.2,5,7,0.7
Before,2006,9,"Bonds Is Back, Defying Injuries and Inquiries",2006-09-07T04:00:00+0000,4.69,5,7,0.7
Before,2006,9,An Egyptian Oasis in Miami,2006-09-17T04:00:00+0000,5.58,4,5,0.8
Before,2006,9,The Stranger in the Mirror,2006-09-14T04:00:00+0000,5.18,5,5,1.0
Before,2006,9,"Paid Notice: Deaths   GLAZER, RUTH",2006-09-10T05:00:00+0000,4.75,4,5,0.8
Before,2006,9,Annan Finds Leaders Split on U.S. Presence in Iraq,2006-09-13T04:00:00+0000,5.29,9,10,0.9
Before,2006,9,"Erin Trainor, Michael Blanton",2006-09-24T04:00:00+0000,5.7,1,4,0.2
Before,2006,9,"Paid Notice: Deaths  BOBRINSKOY, COUNT NICHOLAS ALEXIS",2006-09-15T05:00:00+0000,5.0,5,7,0.7
Before,2006,9,Big Italian Phone Company Is Planning to Split in Two,2006-09-12T04:00:00+0000,5.61,10,10,1.0
Before,2006,9,"Repainting the House, on Canvas",2006-09-09T04:00:00+0000,5.63,3,5,0.6
Before,2006,9,Who’s Your Daddy?,2006-09-10T05:00:00+0000,5.68,4,4,1.0
Before,2006,9,PayPal Founder’s Hedge Fund Fires Back,2006-09-01T15:46:34+0000,5.28,5,7,0.7
Before,2006,9,Saving Wild Butterflies (1 Letter),2006-09-01T04:00:00+0000,6.58,4,4,1.0
Before,2006,9,Tennis Is Moving to Unified Drug Testing,2006-09-04T05:00:00+0000,5.0,6,7,0.9
Before,2006,9,Leaving Behind the Torn-Jeans Look,2006-09-05T05:00:00+0000,4.71,6,6,1.0
Before,2006,9,"From a Long Tradition, Small Sips Quickly Brewed",2006-09-13T05:00:00+0000,5.32,6,8,0.8
Before,2006,9,"For All Those Clock-Watchers, a Daily Grind",2006-09-18T15:46:00+0000,5.27,7,8,0.9
Before,2006,9,Ballbabes at the Net,2006-09-05T05:42:18+0000,5.28,3,4,0.8
