period,year,month,headline,pub_date
Before,2006,9,Op-Art,2006-09-23T05:00:00+0000
Before,2006,9,"With Little Authority, African Union Force Struggles With Its Mission in Darfur",2006-09-09T04:00:00+0000
Before,2006,9,Newt at The New School,2006-09-14T16:46:00+0000
Before,2006,9,"Krishna Chaganti, Sesh Mudumbai",2006-09-24T04:00:00+0000
Before,2006,9,The Zone; Peak Performance,2006-09-17T05:00:00+0000
Before,2006,9,EXECUTIVE PRENUPTIAL,2006-09-24T05:00:00+0000
Before,2006,9,"Boy, 13, on Way to School Is Seriously Injured by a Bus in Queens",2006-09-07T05:00:00+0000
Before,2006,9,Rumors of Suitor for Condom Maker Said to Be Untrue,2006-09-26T14:38:00+0000
Before,2006,9,Sock Puppet Bites Man,2006-09-13T05:00:00+0000
Before,2006,9,A Different World?,2006-09-21T04:00:00+0000
Before,2006,9,Hey! Hey! I’m Walking Here! — How New York (and Other Big Cities) Should Solve the Traffic Problem,2006-09-13T04:00:00+0000
Before,2006,9,"Paid Notice: Deaths   LEAHEY, EDWARD BERRY, SR., M.D.",2006-09-13T05:00:00+0000
Before,2006,9,"From Buell, a Bike to Take Harley in New Directions",2006-09-10T05:00:00+0000
Before,2006,9,Corrections,2006-09-29T04:00:00+0000
Before,2006,9,A GLIMPSE AT BOSTON'S FUTURE,2006-09-17T05:00:00+0000
Before,2006,9,U.S. Cleats Leave Mark on Scandinavia's Welcome Mat,2006-09-06T05:00:00+0000
Before,2006,9,"Paid Notice: Deaths  HAMMERSCHLAG, JESSICA RACHEL",2006-09-03T05:00:00+0000
Before,2006,9,English Water Utility AWG in Play,2006-09-14T11:05:26+0000
Before,2006,9,Liquor-License Freeze Enacted in N.Y.,2006-09-07T04:00:00+0000
Before,2006,9,Malaysia’s Khazanah Sells $750 Million of Islamic Bonds,2006-09-28T11:47:55+0000
Before,2006,9,New Orleans Mayor Finds His Words Follow Him to New York,2006-09-02T04:00:00+0000
Before,2006,9,Before Moocher,2006-09-24T05:00:00+0000
Before,2006,9,Report Urges F.A.A. to Act Regarding False 9/11 Testimony,2006-09-02T05:00:00+0000
Before,2006,9,New DVD's: F. W. Murnau's 'Phantom',2006-09-19T04:00:00+0000
Before,2006,9,Calderón Named Mexico’s President-Elect,2006-09-05T04:00:00+0000
